Internal_Site_ID,Field_Description,Monarch_Presence,Riparian_Score_SD,Riparian_Score_Mean,Riparian_CC,Active_Floodplain_Width,In_Channel_CC,Bankfull_Width_Mean,Bankfull_Width_SD,Bankfull_Width_CoV,Wetted_Width_Mean,Wetted_Width_SD,Wetted_Width_CoV,Wetted_Perimeter,Peb_D50,Peb_Het,Peb_Het2,Peb_Sorting,Peb_Kurt,Peb_Skew,Embed_Median,Embed_Het,Embed_Het2,Embed_Sorting,Embed_Kurt,Embed_Skew,Bed_Veg_Median,Bed_Veg_Het,Bed_Veg_Het2,Bed_Veg_Sorting,Bed_Veg_Kurt,Bed_Veg_Skew,FineSed_Depth_Median,FineSed_Depth_Het,FineSed_Depth_Het2,FineSed_Depth_Sorting,FineSed_Depth_Kurt,FineSed_Depth_Skew,Water_Depth_Median,Water_Depth_Het,Water_Depth_Het2,Water_Depth_Sorting,Water_Depth_Kurt,Water_Depth_Skew,Flow_Type_Median,Flow_Type_Het,Flow_Type_Het2,Flow_Type_Sorting,Flow_Type_Kurt,Flow_Type_Skew,Fish_Cover_Median,Fish_Cover_Sorting,Fish_Cover_Kurt,Streambank_Veg_Type_Median,Streambank_Veg_Type_SD,Total_Streambank_Height_Mean,Streambank_Slope_Mean,Bankfull_Height_Mean,TBH_Bankfull_Height_Ratio,Streambank_Erosion_Index,Streambank_Eroding,Streambank_Lateral_Root_Exposure_Distance_Mean,Streambank_Root_Exposure_Age_Mean,Streambank_Lateral_Erosion_Rate_Sample_Size,Streambank_Lateral_Erosion_Rate_Mean,Streambank_Lateral_Erosion_Rate_SD,Adjusted_Streambank_Lateral_Erosion_Rate_Mean,Adjusted_Streambank_Area_Erosion_Rate,Long_Dep_Var,Long_Roughness,Long_Sinuosity,Stream_Slope,CSX_Topo_Roughness,CSX_Dep_CoV,CSX_Bankfull_Area,CSX_Total_Area,CSX_Area_Ratio,Instream_Wood_Volume,Instream_Wood_Porosity
MLBK,Dense undisturbed bit of pasture wide channel lots of sediment in channel.,Yes,1.25,3.688,81.27,0.4,72.13,6.65,0.88,0.13,6.04,0.75,0.12,6.481,44.9,13.1,0.2,35.7,1.9,0.9,37.5,2.3,0.2,37.5,0.5,0.3,0,0,0,18.8,1.6,1,0.5,6.4,0,1.6,0.8,0.7,13,1.9,0.1,11.6,0.8,0.1,0.1,2,0.2,0.1,1.2,0.1,0,18.8,3.7,3,0.72,0.753,71.05,0.285,2.674,18.5,13,18.2,4.4,10,5.2,4.5,0.68,51.1,0.226,0.251,1.139,0.21,1.06,34.822,5.823,5.911,0.985,0,0
MLPG,"Cattle pasture, cattle in stream downstream when we arrived, found hoof prints in stream in our reach, open canopy.",Yes,1.632,2.438,1.06,2.299,NA,6.16,0.99,0.16,5.25,1.39,0.27,5.592,29.1,8,0.5,7,2.6,1,87.5,1,0.4,12.5,0.6,1,0,0,0,31.2,3.7,1,2,6.6,0.1,6.3,1.1,0.8,10.5,3.4,0.1,17.1,0.7,0.5,0,10,0.2,0.1,1.2,1,0,6.2,Inf,1,0.96,1.308,64.86,0.194,7.293,14,16,15.6,4.4,6,5.4,6,0.86,112.6,0.073,0.339,1.121,0.18,1.037,47.469,2.939,11.57,0.254,2.49,0.4
MLRB,"Bedrock bottom in stream, forested, hard to find sediment saples.",Yes,1.34,3.938,66.04,3.58,96.62,6.55,1.14,0.17,5.81,1.21,0.21,9.081,86,8.2,0.1,44,4.3,0.9,12.5,3,0,18.8,2.6,0.5,0,0,0,0,Inf,0,0.5,4,0,1,0.9,0.6,9.8,1.9,0,8.8,0.8,0.1,0.1,3.8,0.1,0.2,1,0.5,0,0,Inf,3,1.02,0.786,58.91,0.244,3.214,18,8,37.3,3.5,10,11.2,9.5,0.9,70.5,0.932,0.272,1.093,0.81,1.222,51.251,1.966,8.15,0.241,0,0
MLRH,"Meadow, small shed, paved road.",Yes,1.586,3.375,15.63,2.012,22.52,4.17,1.24,0.3,3.85,1.4,0.36,5.452,54.7,5.8,0.2,31,2.1,0.8,62.5,1.4,0,37.5,0.6,0.4,37.5,2.3,0.3,37.5,0.5,0.3,0.5,8.8,0,2.2,1.4,0.8,16.8,1.8,0.2,12,0.9,0.1,0.1,2,0.2,0.1,1.2,0.1,37.5,43.8,0.5,2,0.29,1.008,58.05,0.148,7.447,12,17.75,24.2,2.8,8,7.9,4.5,1.4,141.2,0.844,0.392,1.087,0.45,1.043,29.122,2.046,8.082,0.253,0,0
MOSS,"Open canopy only ~3 trees (willow), heavy sedimental deposition in channel, owner said stream level was lower than normal although the flow was strong and was hard for us to find bankfull.",No,2.007,3.188,2.93,0.7,8.69,10.29,1.3,0.13,9.99,1.24,0.12,10.39,16.8,2.8,1,1.8,Inf,1,87.5,1,0.1,37.5,0.5,1,87.5,1,0.1,37.5,0.5,1,8,3.3,0.1,12.1,0.9,0.5,24.5,1.8,0.2,16.5,0.8,0.2,0.2,1.9,0.1,0.1,1.3,0.1,37.5,43.5,0.5,2,0.21,0.494,52.61,0.136,3.658,6,0,NA,NA,0,NA,NA,NA,NA,0.412,0.497,1.156,0.26,1.032,45.007,5.056,8.587,0.589,0.02,NA
MUDD,"Open canopy, meandering strea, more leaf litter in channel depositional zones than sediment, large amount of in channel vegetation, cattle pasture with electric fence.",Yes,1.601,2.812,15.23,0.782,34.94,7.11,1.76,0.25,5.47,1.73,0.32,9.289,57.1,5.6,0.1,44,1.4,0.8,62.5,1.4,0,37.5,0.6,0.4,12.5,7,0,43.8,0.5,0.7,1,3.5,0,1.8,1.2,0.5,20.5,2.8,0.1,27,0.8,0.4,0,5,1,0,1.9,1,0,43.8,0.7,2,0.7,1.578,69.02,0.367,4.317,14,3,10.2,5.2,6,2.7,2.2,0.08,12.8,0.755,0.638,1.528,0.25,1.025,43.464,4.8,14.26,0.337,1.11,0.3
NPAS,Elevated riparian zone.,No,1.223,3.812,48.51,11.3,66.3,8.86,1.46,0.16,7.51,1.22,0.16,5.872,40.3,8,0.1,31,1.5,0.9,37.5,2.3,0,37.5,0.5,0.2,0,0,0,0,Inf,0,0.5,5,0,1.2,1.3,0.7,24.2,2.4,0,27.8,0.8,0.3,0,5,1,0,Inf,1,0,6,Inf,2,1.03,1.086,68.27,0.436,2.634,12.5,15,29.4,10.3,10,3.2,2.2,0.47,51.4,0.11,0.535,1.105,0.18,1.177,35.487,5.799,9.229,0.628,0,0
PINE,"Dry stream, meadow, close to residential property.",No,1.537,3.312,35.57,2.47,85.08,3.22,0.55,0.17,0,0,NaN,5.872,48.6,5.7,0,63,0.8,0.7,62.5,1.4,0.2,37.5,0.5,0.3,0,0,0,0,Inf,0,0,0,0,0,NaN,0,0,NaN,0,0,NaN,0,NA,NA,NA,NA,NA,NA,0,0,NaN,2,0.9,0.805,38.57,0.252,3.429,18,4.5,16,9.9,10,1.9,1.4,0.09,7,0.481,0.312,1.013,0.91,1.032,58.957,0.58,3.319,0.175,0,0
PISG,"Cattle access, trampled ground, cow pies, open canopy.",No,1.408,2.625,7.19,1.91,11.24,5.36,2.22,0.41,3.95,1.19,0.3,2.568,48.7,11.2,0.2,44,1.5,0.9,12.5,7,0,43.8,0.5,0.7,0,0,0,6.2,1.2,1,1,3,0,1.5,1.1,0.4,11.5,1.7,0.1,9.1,0.7,0,0.2,1.9,0.1,0.2,0.5,0,0,6.2,1.6,1,0.5,0.828,47.18,0.265,3.448,12,33,52.5,3,2,20.1,11.2,6.64,549.9,0.91,0.196,1.218,1.01,1.073,35.02,1.512,6.367,0.237,0,0
POAG,"Forested, meadow, shallowed area, slopes.",No,1.39,3.75,91.59,2.125,99.01,7.76,2.74,0.35,7.2,2.77,0.38,7.287,34.2,4.7,0.4,7,3.2,0.9,37.5,2.3,0,37.5,0.6,0.2,0,0,0,6.2,Inf,1,2,3.5,0,3.5,1.1,0.5,7.5,3.7,0.1,13.3,1,0.6,0.1,3.8,0.2,0.2,1,0.5,0,6.2,Inf,2,0.61,0.743,47.82,0.212,3.532,18,5,30.6,6,10,16,33.5,0.8,59.6,0.613,0.624,1.203,1.3,1.082,41.335,3.033,8.995,0.337,0.9,0.34
PUGH,"Pasture with cattle access, undisturbed area with mowed paths, trampled areas from cattle.",Yes,1.544,3.125,41.44,0.704,81.96,6.08,1.3,0.21,4.8,1.5,0.31,6.169,83,64,0.1,63,4.3,1,37.5,2.3,0,43.8,0.5,0.1,0,0,0,0,NaN,0,0.5,6,0,1.5,1.2,0.7,9,2.6,0.1,10.9,0.9,0.3,0,10,1,0.1,1.2,1,0,6.2,1.6,3,1.07,1.334,57.64,0.418,3.197,12,21.4,24.1,5,10,9.6,14.2,2.05,273.8,0.815,0.328,1.066,0.75,1.025,39.783,1.656,14.463,0.115,0,0
SMTH,Two tiers of short slopes- old banks? Majority iron weed in riparian zone.,Yes,1.258,3.875,35.94,1.185,29.07,7.39,3.24,0.44,6.11,2.35,0.39,6.893,40.5,5.6,0,44,0.7,0.7,12.5,7,0,43.8,0.7,0.7,12.5,5,0,31.2,1.2,0.7,1,4.5,0,2.2,1.8,0.7,15,2.4,0,17.1,0.7,0.3,0.1,2,0.2,0.1,1,0.3,0,18.8,2.6,2,0.65,1.452,59.55,0.254,5.599,12,11,31.4,7,7,4.8,2.6,0.53,76.5,0.055,0.428,1.212,0.52,1.04,44.18,2.856,8.288,0.345,0.18,0.25
SOUT,Open canopy lots of holes from fox?,No,1.31,3.375,42.31,1.999,39.16,4.55,0.99,0.22,4.17,0.9,0.21,5.894,29.1,9.7,0.5,8.7,9.4,1,87.5,1,0,37.5,0.6,1,12.5,3,0,18.8,0.5,0.3,2.5,4.8,0,5.8,1.2,0.7,19.5,2,0.1,18.1,0.7,0.2,0.1,2,0.2,0.1,1,0.3,0,6.2,0.5,1,0.43,1.102,67.64,0.19,5.931,8,14.75,3.4,2,1,1.7,NA,0.25,27.6,0.039,0.368,1.586,0.25,1.025,35.763,2.621,10.511,0.249,0,0
SPOU,"Mowed soccer field L bank riparian zone, wooded on R bank. Wooded area had large aount of dead wood. Severe thunderstorm siren went off while in channel, finished up asuch as we could before thunder/lightning started.",No,1.528,3.75,65.21,1.19,76.26,7.19,0.75,0.1,6.67,0.85,0.13,6.292,48.6,8,1,7,7.7,1,87.5,1,0,37.5,0.5,1,0,0,0,6.2,1.6,1,1.5,5.1,0,3.8,1.4,0.7,27,2,0,26.2,0.7,0.1,0.1,2,0.2,0.1,1,0.3,0,6.2,2.6,3,0.95,1.135,57.41,0.17,7.483,18,11,25.3,8,7,4,2.3,0.44,49.5,NA,NA,NA,NA,1.01,57.753,4.237,8.576,0.494,0,0
THOR,"Rained for 15 minutes while sampling, cattle access upstream and downstream but not within reach. Sparse sediment deposition in channel.",No,1.414,3.5,31.76,1.401,55.9,4.06,1.59,0.39,2.96,1.75,0.59,2.455,29,6.6,0.1,21.5,1.1,0.8,12.5,7,0,43.8,0.7,0.7,37.5,2.3,0.2,37.5,0.5,0.3,0.5,4,0,1,0.9,0.6,8.2,2.9,0.1,11.4,0.9,0.4,0.1,2,0.2,0.1,2,0.3,0,43.8,1.2,2,0.73,1.015,74.45,0.294,3.636,14,7,78.9,3.5,4,42.2,56.6,2.96,300.2,0.528,0.168,1.077,0.52,1.04,35.81,0.763,4.959,0.154,1.04,0.6
TOMS,"Open canopy except over channel, hay crop off right bank? Cattle pasture off left, paved road in riparian zone, bedrock in channel.",Yes,1.424,3.188,16.23,2.475,34.84,4.67,1.59,0.34,4.07,1.7,0.42,0.714,130.5,16,0,255,2.1,0.9,12.5,7,0,43.8,0.7,0.7,0,0,0,0,Inf,0,0.5,6,0,1.5,2.1,0.8,11,2.8,0.1,14.2,0.8,0.4,0,10,1,0.1,2.3,1,0,6.2,Inf,2,0.46,1.162,44.41,0.225,6.191,12,5,27.1,4.6,4,13.8,15,0.69,79.9,0.788,0.256,1.137,0.85,1.035,34.026,1.528,6.328,0.241,0.27,0.64
TUSC,"Small area paved, mowed area, sloped forested area, meadow with planted trees, trampled trail.",No,1.586,3.375,66.99,0.443,94.59,3.77,0.5,0.13,3.1,0.52,0.17,2.774,60.9,11.2,0.2,44,4.5,0.9,62.5,1.4,0.2,37.5,0.5,0.3,0,0,0,6.2,Inf,1,1.5,2.7,0,2,0.9,0.3,10,2.4,0,11.6,0.8,0.3,0.1,2,0.2,0.1,0.5,0.1,0,0,Inf,3,0.51,0.829,48.68,0.251,3.322,12,14,26.1,10.5,9,3.6,3.9,0.51,42.2,0.593,0.401,1.033,0.72,1.087,58.059,1.052,4.135,0.255,0,0
WARB,"Started raining @ 14:26, sediment deposition hard to find, did not have access to property on right bank for riparian assessment, poultry processing plant on left side.",No,1.559,2.812,49.04,1.135,95.68,6.86,0.98,0.14,4.65,1.28,0.27,4.062,79,2.4,0.2,49.4,1.1,0.4,0,Inf,NaN,6.2,1.6,1,0,0,0,0,Inf,0,0,0,0,0.1,Inf,1,7,3.9,0.1,12.9,0.8,0.6,0,1,1,0,Inf,0,0,6.2,Inf,2,1.2,1.063,61.57,0.246,4.298,20,8,35.8,5.8,10,7.7,5.7,0.62,65.7,0.346,0.356,1.132,0.49,1.183,26.223,2.604,7.166,0.363,0.51,0.2
WFLN,"L bank young corn crop, R bank mowed w/ barren soil for truck path. Extremely silty channel-sunk in silt up to thighs, got stuck often.",Yes,1.88,2.75,3.57,0.736,42.85,6.77,0.92,0.14,5.02,1.25,0.25,5.126,3.5,1,1,0,NaN,0,87.5,1,1,0,NaN,0,37.5,2.3,0,43.8,0.5,0.1,15,2.4,0.1,15.6,0.7,0.3,10,3.1,0.1,14.5,0.7,0.5,0.1,2,0.2,0.1,0.6,0.1,0,18.8,1.2,2,0.56,1.29,58.8,0.266,4.923,12,3,10.1,2.8,4,3.9,2.2,0.12,17.9,0.318,0.401,1.04,0.13,1.022,47.543,3.321,9.067,0.366,0.01,NA
WEST,Forested mowed shallow stream bedrock.,No,1.095,4,80.37,3.55,91.73,10.9,1.41,0.13,7.42,2.14,0.29,8.597,55.7,5.8,0.1,30.6,1.6,0.8,0,Inf,NaN,18.8,2.2,1,0,0,0,0,NaN,0,0.5,3,0,0.8,1.2,0.4,7.5,3,0.1,10.8,0.8,0.4,0,10,0.2,0.1,2.3,1,0,0,Inf,3,0.91,1.52,47.18,0.307,5.119,12,45,29.4,6.4,10,5.2,3.3,2.35,303,0.192,0.317,1.132,0.42,1.06,48.276,3.517,19.353,0.182,0,0
